id,title,company,location,category,contract_type,contract_time,created,salary_min,salary_max,salary_is_predicted,description,redirect_url,Python,SQL,Excel,Google Sheets,Power BI,Tableau,Machine Learning,Statistics,AWS,Azure,SAS,VBA,Data Visualization,Data Modeling,Communication,posted_date,seniority_level,skills_count,work_mode,posted_week
5727816928,Statistician/Data Analyst,Two95 International Inc.,Not Specified,IT Jobs,contract,Not Specified,2026-05-13 12:52:17+00:00,,,0,"Location: Karnataka Experience: 5 Years Qualification: Bachelor’s / Master’s Degree in Statistics Job Summary: We are seeking an experienced Statistician / Data Analyst to support survey analysis, statistical modeling, and data-driven planning activities for Master Plan / Urban Development projects. The candidate should possess strong analytical skills and experience in handling large datasets, statistical tools, and reporting. Kannada language proficiency is mandatory. Key Responsibilities: Pe…",https://www.adzuna.in/details/5727816928?utm_medium=api&utm_source=f1e89a05,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,13-05-2026,Mid/Not Specified,1,Onsite/Not Specified,2026-05-11/2026-05-17
5785025954,Data Analyst - Remote,YO AI Labs,"Bangalore, Karnataka",IT Jobs,contract,Not Specified,2026-07-02 11:18:26+00:00,,,0,"Job Title: Data Analyst (Excel) Job Type: Contractor Location: Remote Job Summary: In this role, you'll apply your expertise to help train next-generation AI systems. Your work will shape how models learn, reason, and perform through high-quality, real-world input. No prior experience in AI is required — your domain knowledge is what matters. Key Responsibilities: Conduct in-depth data analysis using Microsoft Excel to extract actionable insights and support decision-making across teams. Collab…",https://www.adzuna.in/details/5785025954?utm_medium=api&utm_source=f1e89a05,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,02-07-2026,Mid/Not Specified,1,Remote,2026-06-29/2026-07-05
5795166296,Sr. Data Analyst,Weekday AI,Not Specified,IT Jobs,Not Specified,full_time,2026-07-10 12:18:08+00:00,,,0,"This role is for one of Weekday’s clients Min Experience: 3 years Location: Nagpur JobType: full-time We are seeking a Senior Data Analyst with strong SQL, Python, and business analytics skills to work across diverse business domains including supply chain, education, and energy management. This role demands a professional who can quickly grasp new business contexts, apply rigorous analytical thinking, and translate data insights into tangible financial and operational impact. Requirements Key …",https://www.adzuna.in/details/5795166296?utm_medium=api&utm_source=f1e89a05,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,10-07-2026,Senior,2,Onsite/Not Specified,2026-07-06/2026-07-12
5812614548,Senior Data Analyst,Sia,"Mumbai, Maharashtra",IT Jobs,Not Specified,Not Specified,2026-07-24 01:04:13+00:00,,,0,"Job Description We are hiring a Power BI Developer to support our global internal teams (Finance, HR, Strategy, Corporate Functions) by maintaining, improving, and delivering high-impact business intelligence dashboards, datasets, and analytics solutions. This role is critical for strengthening our internal reporting systems and driving data-backed decision-making across the organization. Key Responsibilities Lead the design, implementation, and upkeep of ETL / data pipelines (from source files…",https://www.adzuna.in/details/5812614548?utm_medium=api&utm_source=f1e89a05,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,24-07-2026,Senior,1,Onsite/Not Specified,2026-07-20/2026-07-26
5822594078,Lead Data Analyst,VDart Software Services Pvt. Ltd.,Not Specified,IT Jobs,Not Specified,Not Specified,2026-07-31 23:35:53+00:00,,,0,"Key Responsibility Proven leadership experience with a proven track record of managing teams comprising 5 or more members . Should possess current or prior hands-on experience in report automation , specifically using VBA and Macros . They should hands-on be Python, SQL, and Advanced Excel , and have practical experience in data visualization, data reconciliation, and stakeholder management . The ability to effectively collaborate with stakeholders and translate business requirements into actio…",https://www.adzuna.in/details/5822594078?utm_medium=api&utm_source=f1e89a05,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,31-07-2026,Senior,5,Onsite/Not Specified,2026-07-27/2026-08-02
5820125826,Data Analyst 2,Trigent Software Private Limited,"Aperl, Hyderabad",IT Jobs,Not Specified,Not Specified,2026-07-29 23:29:36+00:00,600000,1200000,0,"Job Description: Work closely with Product, Engineering, DataScience and Outreach to provide analytical support and help with data-driven decision making. Data extraction, cleaning, preprocessing, and transformation to generate actionable insights. Design and build insightful dashboards to present actionable insights and drive business decisions. Design and author data pipelines to power the dashboards Must Have Skill Set: BS or MS degree in Computer Science or Engineering OR equivalent years o…",https://www.adzuna.in/details/5820125826?utm_medium=api&utm_source=f1e89a05,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,29-07-2026,Mid/Not Specified,0,Onsite/Not Specified,2026-07-27/2026-08-02
5820125846,Senior Data Analyst,Trigent Software Private Limited,"Richmond Town, Bangalore",IT Jobs,Not Specified,Not Specified,2026-07-29 23:29:36+00:00,100000,3500000,0,"Business requirements analysis, KPI definition, and stakeholder engagement. Strong SQL and Python/R for data exploration, statistical analysis, and reproducible reporting. Experience building actionable reports, dashboards, and self-serve analytics. Data quality assurance, validation frameworks, and root-cause analysis. Primary Skills: Strong SQL, Python, Tableau.",https://www.adzuna.in/details/5820125846?utm_medium=api&utm_source=f1e89a05,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,29-07-2026,Senior,3,Onsite/Not Specified,2026-07-27/2026-08-02
5817452673,Data Analyst (Leegality),Leegality,Not Specified,IT Jobs,permanent,Not Specified,2026-07-27 20:44:56+00:00,,,0,"This is a remote position. Company Mission: Leegality is India’s first Document Infrastructure Platform - a radical new digital way for businesses to complete paperwork (agreements, forms and other legal documents). Over the last 7 years, Leegality has changed the way 2000 Businesses do their paperwork from large enterprises like HDFC, SBI Cards, Federal Bank, ICICI Lombard, Axis Finance, Tata Capital etc. to high-growth companies like Razorpay, Rupeek, Cars24, Dunzo etc. To see our impact on c…",https://www.adzuna.in/details/5817452673?utm_medium=api&utm_source=f1e89a05,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,27-07-2026,Mid/Not Specified,0,Remote,2026-07-27/2026-08-02
5822617264,Data Analyst Intern,MTAB Technology Center P Ltd,"Injambakkam, Chennai",IT Jobs,contract,part_time,2026-08-01 00:54:03+00:00,,,0,"This is a remote position. Attention: It's mandatory to Click Here and Apply Are you eager to kickstart your career in data analysis? Apply for the Abhyaz Internships at MTC! We are seeking analytical and dynamic individuals who are passionate about working with data and making informed decisions. If you have a keen eye for detail and enjoy working with complex datasets, then this internship is perfect for you. Core Functional Responsibilities: Understand the business scenario Work with heads o…",https://www.adzuna.in/details/5822617264?utm_medium=api&utm_source=f1e89a05,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,01-08-2026,Junior,0,Remote,2026-07-27/2026-08-02
5794938975,Senior Data Analyst,Aliqan Services,"Bangalore, Karnataka",IT Jobs,Not Specified,Not Specified,2026-07-10 07:19:30+00:00,,,0,"Job description Data analyst, data brick, Azure, Python, Spark, Pyspark, Data factory Role: Data Analyst Industry Type: IT Services & Consulting Department: Data Science & Analytics Employment Type: Full Time, Permanent Role Category: Business Intelligence & Analytics Education UG: B.Tech/B.E. in Any Specialization Skills: Spark, Pyspark, Data Factory, Azure, Data Analyst, Python Experience: 9.00-14.00 Years",https://www.adzuna.in/details/5794938975?utm_medium=api&utm_source=f1e89a05,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,10-07-2026,Senior,2,Onsite/Not Specified,2026-07-06/2026-07-12
5761791107,Data Analyst Trainee,Lead India,"Bangalore, Karnataka",IT Jobs,Not Specified,full_time,2026-06-13 02:35:26+00:00,,,0,"Job Description: Data Analyst Lead India is looking for dynamic data analysts who has passion for data and a relentless focus on execution and delivery. The candidate is expected to come up with insightful data presentation to make informed decisions. As a data analyst your roles and responsibilities will be as follows: Experience: 0-1 years Technical Skills: Strong Work experience on Azure (App Insights, Stream analytics, Data Factory, Data warehouse, Azure Storage accounts, Blobs) Strong anal…",https://www.adzuna.in/details/5761791107?utm_medium=api&utm_source=f1e89a05,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,13-06-2026,Mid/Not Specified,1,Onsite/Not Specified,2026-06-08/2026-06-14
5802074702,Sr.Data Analyst,HCL Technologies Limited,"Hyderabad, Telangana",IT Jobs,Not Specified,Not Specified,2026-07-16 07:24:00+00:00,,,0,"HCLTech is hiring for Sr.Data analyst Please Note: Immediate joiners only Location: Hitechcity, Hyderabad Mode: Work from office Shifts: Night Shifts Cab Facility: Yes (chargeable) Over 4 yrs of customer service experience, including managing multiple phone lines and handling ticket-related communications in a Command Center environment. Strong computer proficiency, including Data Entry and advanced use of MS Office Suite (Word, Excel, Outlook). Expertise in data visualization and analytics, wi…",https://www.adzuna.in/details/5802074702?utm_medium=api&utm_source=f1e89a05,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,16-07-2026,Senior,3,Onsite/Not Specified,2026-07-13/2026-07-19
